variant,variant_label,outcome,outcome_label,excluded_reporter_code,excluded_country,excluded_iso3,years,mean_spearman,median_spearman,min_spearman,max_spearman,share_positive,min_year_countries,max_year_countries
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,705,Slovenia,SVN,25,0.41565932294111824,0.4181631230393865,0.27714980846096304,0.4667541467615279,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,710,South Africa,ZAF,25,0.41905671724851445,0.42277163069109375,0.279752774860407,0.46888305688256476,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,724,Spain,ESP,25,0.4197753759439473,0.42493742064211865,0.28384045213790815,0.4738584872777971,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,144,Sri Lanka,LKA,25,0.4183940273376408,0.4212277286281082,0.27929187224686247,0.4655958077010708,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,740,Suriname,SUR,25,0.4250344599155976,0.4330745510611282,0.2940860905635857,0.4851420526384133,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,752,Sweden,SWE,25,0.4155134510714943,0.41882254368022875,0.2783587333489487,0.4668156562032272,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,757,Switzerland,CHE,25,0.4136606462755396,0.420716647547068,0.26886867297826206,0.463683140786859,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,764,Thailand,THA,25,0.41527947765602824,0.4181600840619668,0.2777656045757807,0.4651343981301129,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,768,Togo,TGO,25,0.4089994104162609,0.41187870338096894,0.268366213571693,0.46270477518299047,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,776,Tonga,TON,25,0.4051579474215711,0.409458904185654,0.26152445428374976,0.45542274072403444,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,780,Trinidad and Tobago,TTO,25,0.4195955986959439,0.4235971195280191,0.27457706518371877,0.47207471346851737,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,788,Tunisia,TUN,25,0.41518143285775116,0.4188850221241072,0.27444106113382044,0.4653189264552109,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,792,Türkiye,TUR,25,0.42378434075775034,0.4270895782502614,0.2861676325472803,0.47422412673678743,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,842,USA,USA,25,0.4136367108525494,0.41716907830680694,0.2736288147247051,0.4632481085846677,1.0,129,154
