product_id,classification_code,cmd_code,product_label,primary_strict,primary_broad,primary_strict_rule,primary_broad_rule
HS1992:050100,H0,050100,"Human hair, unworked, whether or not washed or scoured; waste of human hair.",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:190300,H0,190300,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms.",False,False,not_primary_strict,not_primary_broad
HS1992:230690,H0,230690,Other,False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:283110,H0,283110,Of sodium,False,False,not_primary_strict,not_primary_broad
HS1992:292130,H0,292130,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof",False,False,not_primary_strict,not_primary_broad
HS1992:360490,H0,360490,Other,False,False,not_primary_strict,not_primary_broad
HS1992:381800,H0,381800,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics.",False,False,not_primary_strict,not_primary_broad
HS1992:401140,H0,401140,Of a kind used on motorcycles,False,False,not_primary_strict,not_primary_broad
HS1992:732421,H0,732421,"Baths :-- Of cast iron, whether or not enamelled",False,False,not_primary_strict,not_primary_broad
HS1992:740710,H0,740710,Of refined copper,False,False,not_primary_strict,not_primary_broad
HS1992:810192,H0,810192,"Other :-- Bars and rods, other than those obtained simply by sintering, profiles, plates, sheets, strip and foil",False,False,not_primary_strict,not_primary_broad
HS1992:810199,H0,810199,Other,False,False,not_primary_strict,not_primary_broad
HS1992:843910,H0,843910,Machinery for making pulp of fibrous cellulosic material,False,False,not_primary_strict,not_primary_broad
HS1992:844630,H0,844630,"For weaving fabrics of a width exceeding 30 cm, shuttleless type",False,False,not_primary_strict,not_primary_broad
HS1992:950640,H0,950640,Articles and equipment for table-tennis,False,False,not_primary_strict,not_primary_broad
HS1992:110630,H0,110630,Of the products of Chapter 8,False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:251810,H0,251810,Dolomite not calcined,True,True,strict_minerals_ores_hs25_26,strict_minerals_ores_hs25_26
HS1992:291570,H0,291570,"Palmitic acid, stearic acid, their salts and esters",False,False,not_primary_strict,not_primary_broad
HS1992:292159,H0,292159,Aromatic polyamines and their derivatives; salts thereof :-- Other,False,False,not_primary_strict,not_primary_broad
HS1992:292221,H0,292221,"Amino-naphthols and other amino-phenols, their ethers and esters, other than those containing more than one kind of oxygen function; salts thereof :-- Aminohydroxynaphthalenesulphonic acids and their salts",False,False,not_primary_strict,not_primary_broad
HS1992:293319,H0,293319,Compounds containing an unfused pyrazole ring (whether or not hydrogenated) in the structure :-- Other,False,False,not_primary_strict,not_primary_broad
HS1992:293500,H0,293500,Sulphonamides.,False,False,not_primary_strict,not_primary_broad
HS1992:293950,H0,293950,Theophylline and aminophylline (theophylline- ethylenediamine) and their derivatives; salts thereof,False,False,not_primary_strict,not_primary_broad
HS1992:300340,H0,300340,Containing alkaloids or derivatives thereof but not containing hormones or other products of heading No. 29.37 or antibiotics,False,False,not_primary_strict,not_primary_broad
HS1992:320300,H0,320300,"Colouring matter of vegetable or animal origin (including dyeing extracts but excluding animal black), whether or not chemically defined; preparations as specified in Note 3 to this Chapter based on colouring matter of vegeta",False,False,not_primary_strict,not_primary_broad
HS1992:380190,H0,380190,Other,False,False,not_primary_strict,not_primary_broad
HS1992:391211,H0,391211,Cellulose acetates :-- Non-plasticised,False,False,not_primary_strict,not_primary_broad
HS1992:550390,H0,550390,Other,False,False,not_primary_strict,not_primary_broad
HS1992:722691,H0,722691,Other :-- Not further worked than hot-rolled,False,False,not_primary_strict,not_primary_broad
HS1992:800510,H0,800510,Tin foil (thickness < 0.2 mm),False,False,not_primary_strict,not_primary_broad
HS1992:800520,H0,800520,Tin powder and flakes,False,False,not_primary_strict,not_primary_broad
HS1992:800600,H0,800600,"Tin tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves).",False,False,not_primary_strict,not_primary_broad
HS1992:810419,H0,810419,Unwrought magnesium :-- Other,False,True,not_primary_strict,broad_unwrought_powder_waste_other_base_metals
HS1992:840420,H0,840420,Condensers for steam or other vapour power units,False,False,not_primary_strict,not_primary_broad
HS1992:853221,H0,853221,Other fixed capacitors :-- Tantalum,False,False,not_primary_strict,not_primary_broad
HS1992:853222,H0,853222,Other fixed capacitors :-- Aluminium electrolytic,False,False,not_primary_strict,not_primary_broad
HS1992:854020,H0,854020,Television camera tubes; image converters and intensifiers; other photo-cathode tubes,False,False,not_primary_strict,not_primary_broad
HS1992:030231,H0,030231,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Albacore or longfinned tunas (Thunnus alalunga)",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:151110,H0,151110,Crude oil,False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:292090,H0,292090,Other,False,False,not_primary_strict,not_primary_broad
HS1992:310420,H0,310420,Potassium chloride,False,False,not_primary_strict,not_primary_broad
HS1992:540824,H0,540824,"Other woven fabrics, containing 85 % or more by weight of artificial filament or strip or the like :-- Printed",False,False,not_primary_strict,not_primary_broad
HS1992:681120,H0,681120,"Other sheets, panels, tiles and similar articles",False,False,not_primary_strict,not_primary_broad
HS1992:730539,H0,730539,"Other, welded :-- Other",False,False,not_primary_strict,not_primary_broad
HS1992:800110,H0,800110,"Tin, not alloyed",False,True,not_primary_strict,broad_first_stage_metals_scrap
HS1992:821510,H0,821510,Sets of assorted articles containing at least one article plated with precious metal,False,False,not_primary_strict,not_primary_broad
HS1992:150420,H0,150420,"Fats and oils and their fractions, of fish, other than liver oils",False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:151530,H0,151530,Castor oil and its fractions,False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:280800,H0,280800,Nitric acid; sulphonitric acids.,False,False,not_primary_strict,not_primary_broad
HS1992:282620,H0,282620,Fluorosilicates of sodium or of potassium,False,False,not_primary_strict,not_primary_broad
HS1992:282690,H0,282690,Other,False,False,not_primary_strict,not_primary_broad
HS1992:290919,H0,290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives :-- Other",False,False,not_primary_strict,not_primary_broad
HS1992:291241,H0,291241,"Aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function :-- Vanillin (4-hydroxy-3-methoxybenzaldehyde)",False,False,not_primary_strict,not_primary_broad
HS1992:292511,H0,292511,Imides and their derivatives; salts thereof :-- Saccharin and its salts,False,False,not_primary_strict,not_primary_broad
HS1992:300660,H0,300660,Chemical contraceptive preparations based on hormones or spermicides,False,False,not_primary_strict,not_primary_broad
HS1992:520951,H0,520951,Printed :-- Plain weave,False,False,not_primary_strict,not_primary_broad
HS1992:810890,H0,810890,Other,False,False,not_primary_strict,not_primary_broad
HS1992:840619,H0,840619,Steam and vapour turbines nes,False,False,not_primary_strict,not_primary_broad
HS1992:848510,H0,848510,Ships' or boats' propellers and blades therefor,False,False,not_primary_strict,not_primary_broad
HS1992:853225,H0,853225,Other fixed capacitors :-- Dielectric of paper or plastics,False,False,not_primary_strict,not_primary_broad
HS1992:900711,H0,900711,Cameras :-- For film of less than 16 mm width or for double-8 mm film,False,False,not_primary_strict,not_primary_broad
HS1992:010519,H0,010519,Weighing not more than 185 g :-- Other,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:080450,H0,080450,"Guavas, mangoes and mangosteens",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:151221,H0,151221,"Cotton-seed oil and its fractions :-- Crude oil, whether or not gossypol has been removed",False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:282420,H0,282420,Red lead and orange lead,False,False,not_primary_strict,not_primary_broad
HS1992:282734,H0,282734,Other chlorides:-- Of cobalt,False,False,not_primary_strict,not_primary_broad
HS1992:282736,H0,282736,Other chlorides:-- Of zinc,False,False,not_primary_strict,not_primary_broad
HS1992:282737,H0,282737,Tin chlorides,False,False,not_primary_strict,not_primary_broad
