country,iso3,reporter_code,year,import_bin,total_imports_in_bin,active_products,product_gini,top_1_product_share,top_5_product_share,top_10_product_share
Iceland,ISL,352,2021,intermediates,3397187673.6800003,2639,0.9176595562382479,0.17452021191392278,0.3836084376634749,0.4463655909773082
Iceland,ISL,352,2021,unmapped_or_ambiguous,12608441.733,21,0.8099346290415637,0.5065220262932867,0.8938008560173277,0.9864787732211348
Iceland,ISL,352,2022,capital_goods,1638921188.5950003,667,0.8450421277256543,0.08438005030159745,0.2806658656724888,0.4201073750240857
Iceland,ISL,352,2022,energy,1458058686.097,29,0.9342847226725806,0.7988713272748954,0.9750541978887263,0.9981535216451359
Iceland,ISL,352,2022,final_consumption,2551373801.963,1291,0.8316829270630575,0.12206854288712202,0.2674204713213931,0.33946468343432507
Iceland,ISL,352,2022,intermediates,3966794571.0049996,2712,0.9191063775293165,0.1760639270369516,0.3793229950236068,0.43674176280574933
Iceland,ISL,352,2022,unmapped_or_ambiguous,28794258.547000002,38,0.8465648647583455,0.4426957734019544,0.8114581532933542,0.9252882252728079
Iceland,ISL,352,2023,capital_goods,1616027394.1820002,663,0.8231296734705023,0.09429843354180027,0.23747628652065986,0.34415297220349234
Iceland,ISL,352,2023,energy,1260987131.907,33,0.9462394246348556,0.8121309777287467,0.982679123946357,0.9987766468880084
Iceland,ISL,352,2023,final_consumption,2620977445.751,1303,0.8305538908668291,0.1811154304923758,0.2739842024559039,0.34684387706797687
Iceland,ISL,352,2023,intermediates,3941480461.6699996,2774,0.921086673075679,0.15584627328172437,0.3831027676542682,0.44631533749495067
Iceland,ISL,352,2023,unmapped_or_ambiguous,30679012.345,34,0.7898421067108299,0.43641947949416626,0.7392177035873871,0.8991727191144688
Iceland,ISL,352,2024,capital_goods,2152776635.936,691,0.8709039350689363,0.20797962449984092,0.40241282865481387,0.4956338631973711
Iceland,ISL,352,2024,energy,1173585301.533,32,0.9372095025757083,0.7950356591312197,0.9727147672664511,0.9984931888021346
Iceland,ISL,352,2024,final_consumption,2286758601.981,1307,0.8003176051417025,0.04524013015688638,0.15258255112924204,0.23705796124190287
Iceland,ISL,352,2024,intermediates,4192284772.4429994,2788,0.9236133635345283,0.1742281834304783,0.36859905887154526,0.4403589640133638
Iceland,ISL,352,2024,unmapped_or_ambiguous,30200570.45,44,0.8356009249442384,0.43652936671598536,0.7326734523652019,0.8939139309535792
Iceland,ISL,352,2025,capital_goods,2794392614.526,704,0.9063605476410339,0.29348734073150745,0.5309800516087052,0.601424032932493
Iceland,ISL,352,2025,energy,1001880702.2689999,30,0.939363996216998,0.8165938492658342,0.9797030480296244,0.998150221663315
Iceland,ISL,352,2025,final_consumption,2849819628.4139996,1308,0.822671334508158,0.0937616036933909,0.25139735100839217,0.3295885675854957
Iceland,ISL,352,2025,intermediates,4271455942.343,2885,0.9251984505202588,0.17404122665917546,0.3707313578173948,0.4311246040802834
Iceland,ISL,352,2025,unmapped_or_ambiguous,27947249.187,44,0.8456772054792883,0.45970052122253624,0.742998331752056,0.9223000441843092
Ireland,IRL,372,1992,capital_goods,2273295438.0,571,0.8016800130486601,0.09637216630001437,0.3146884188662151,0.4388904610998476
Ireland,IRL,372,1992,energy,558393951.0,20,0.8556903761122583,0.5179928587729276,0.9564864197463343,0.9893167359902149
Ireland,IRL,372,1992,final_consumption,5331195820.0,1172,0.7782384741301311,0.04934616282768619,0.14570473740354936,0.2106845328746525
Ireland,IRL,372,1992,intermediates,12269178221.0,2842,0.841578180826805,0.12342859242259596,0.21249722663067672,0.27191706501497726
Ireland,IRL,372,1992,unmapped_or_ambiguous,2050630120.0,157,0.848088456072156,0.3061727158284401,0.5774908675388032,0.7229955663579154
Ireland,IRL,372,1993,capital_goods,2594943617.0,571,0.8524771441010051,0.18428936716277022,0.4317497369346503,0.5647651033336498
Ireland,IRL,372,1993,energy,468003511.0,24,0.8815700919139755,0.5160486648571319,0.9622039523545369,0.9905422119792602
