country,iso3,reporter_code,metric,start_year,end_year,start_metric,end_metric,delta_metric,metric_change_direction,main_driver_bucket,main_driver_bucket_label,main_driver_group,delta_top5_contribution,delta_rank6_50_contribution,delta_rank51_200_contribution,delta_rank201_plus_contribution
Jordan,JOR,400,gini,2000,2024,0.8770923522862193,0.8897939933984053,0.012701641112185968,increase,rank201_plus,Rank 201+ tail,long-tail compression or expansion,-0.0146622172273137,-0.03089478342900487,0.02525154029214771,0.033007101476356715
Kazakhstan,KAZ,398,gini,2000,2024,0.8803022058564731,0.8563733759926033,-0.023928829863869794,decrease,top5,Top 5,top-5 superstar concentration,-0.37908354337183847,-0.1519738287698338,0.2202895583314508,0.2868389839463515
Kenya,KEN,404,gini,2000,2024,0.8794385459827443,0.8819123664669097,0.0024738204841654454,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,0.020762755113380355,-0.06618041885947373,0.013828157502442734,0.03406332672781634
Kuwait,KWT,414,gini,2000,2024,0.8217676133845246,0.8952347686737643,0.07346715528923964,increase,rank201_plus,Rank 201+ tail,long-tail compression or expansion,0.06474014659016594,-0.07070488935076064,-0.03732881421604026,0.11676071226587485
Kyrgyzstan,KGZ,417,gini,2000,2024,0.8715962652623723,0.9153535373408359,0.04375727207846358,increase,top5,Top 5,top-5 superstar concentration,0.09590938889401446,-0.004019293770235244,-0.04929420617065214,0.001161383125336396
Latvia,LVA,428,gini,2000,2024,0.8166539886824811,0.849164176116898,0.032510187434416915,increase,top5,Top 5,top-5 superstar concentration,0.041761593667829985,0.028573784466034813,-0.020595408310820407,-0.017229782388627546
Lebanon,LBN,422,gini,2000,2024,0.8606221190908923,0.899129732683848,0.038507613592955736,increase,top5,Top 5,top-5 superstar concentration,0.0551220226159673,0.015103473290523362,0.0024952865254821432,-0.03421316883901718
Lesotho,LSO,426,gini,2000,2024,0.8942795905231429,0.8874728540213495,-0.00680673650179342,decrease,rank201_plus,Rank 201+ tail,long-tail compression or expansion,-0.03279128022114286,-0.046277887657200534,-0.015199847192796323,0.08746227856934627
Lithuania,LTU,440,gini,2000,2024,0.8198338676583335,0.8440353851940222,0.024201517535688666,increase,top5,Top 5,top-5 superstar concentration,0.02338235379604041,0.00442575175901147,-0.006866256821483452,0.003259668802120197
Luxembourg,LUX,442,gini,2000,2024,0.8764657006356926,0.883232626676957,0.006766926041264387,increase,top5,Top 5,top-5 superstar concentration,-0.03441891628231952,0.013283428601104319,0.00915819570544582,0.01874421801703391
Madagascar,MDG,450,gini,2000,2024,0.8878390690090989,0.8978337184913261,0.00999464948222717,increase,top5,Top 5,top-5 superstar concentration,-0.046656949155520155,-0.0006878821462633633,0.026506455271623985,0.030833025512386647
Malawi,MWI,454,gini,2000,2024,0.8855011456966841,0.9064962970300651,0.020995151333380924,increase,top5,Top 5,top-5 superstar concentration,0.041875730874356476,0.004620312256540693,-0.03847850250381263,0.012977610706296716
Malaysia,MYS,458,gini,2000,2024,0.8726678106440791,0.8618863314482166,-0.010781479195862476,decrease,top5,Top 5,top-5 superstar concentration,-0.0913946079725377,-0.0020663407467571004,0.029776542979924936,0.05290292654350731
Maldives,MDV,462,gini,2000,2024,0.8606098237501072,0.8601863112221787,-0.0004235125279284935,decrease,rank201_plus,Rank 201+ tail,long-tail compression or expansion,-0.039779255933030125,-0.036926172392459655,0.017483510726712614,0.058798405070848575
Mali,MLI,466,gini,2000,2023,0.8934626456744983,0.9134806551350527,0.02001800946055443,increase,rank201_plus,Rank 201+ tail,long-tail compression or expansion,-0.00039890378726004094,-0.011867201744673594,0.012341176352690025,0.01994293863979807
Malta,MLT,470,gini,2000,2024,0.9168407497129892,0.9086430534732653,-0.008197696239723884,decrease,top5,Top 5,top-5 superstar concentration,-0.23058112150080334,0.0862956333127732,0.07482912139134748,0.06125867055695877
