flow,dimension,item_code,item_name,display_label,reporters_evaluated,present_reporter_count,top5_reporter_count,mean_loo_gini_contribution_all_reporters,mean_loo_gini_contribution_present_reporters,mean_loo_gini_contribution_top5_reporters,median_loo_gini_contribution_top5_reporters,mean_loo_gini_contribution_share_all_reporters,mean_loo_gini_contribution_share_present_reporters,mean_loo_gini_contribution_share_top5_reporters,median_loo_gini_contribution_share_top5_reporters,mean_full_gini
Exports,product,870431,"Vehicles: with only spark-ignition internal combustion piston engine, for transport of...",Vehicles: with only spark-ignition internal... (HS 870431),33,32,1,3.6711300350612106e-05,3.785852848656873e-05,0.001761817253317366,0.001761817253317366,3.829984348029705e-05,3.949671358905633e-05,0.0018810250009756438,0.0018810250009756438,0.9197688938362708
Exports,product,300439,"Medicaments: containing hormones (but not insulin), adrenal cortex hormones or antibiotics,...",Medicaments: containing hormones (but not... (HS 300439),33,31,1,0.00015514184376657687,0.00016515099497732376,0.004188790738584025,0.004188790738584025,0.0001821273219703819,0.0001938774717749226,0.004879778845297479,0.004879778845297479,0.9197688938362708
Exports,product,300214,"Blood, human or animal, antisera, other blood fractions and immunological products:...","Blood, human or animal, antisera, other blood... (HS 300214)",33,31,1,3.744516571077634e-05,3.986098285340707e-05,0.0015354405996033105,0.0015354405996033105,3.7225553948381655e-05,3.962720259021273e-05,0.0015712990734473174,0.0015712990734473174,0.9197688938362708
Exports,product,293399,Heterocyclic compounds: n.e.c. in headings no. 2933,Heterocyclic compounds: n.e.c. in headings no.... (HS 293399),33,32,1,9.946726105396082e-08,1.025756129618971e-07,0.0007453083746071787,0.0007453083746071787,-1.8806470021882976e-06,-1.9394172210066815e-06,0.0007675009865077573,0.0007675009865077573,0.9197688938362708
Exports,product,890190,"Vessels: n.e.c. in heading no. 8901, for the transport of goods and other vessels for the...","Vessels: n.e.c. in heading no. 8901, for the... (HS 890190)",33,28,1,8.340627977966544e-05,9.830025831174855e-05,0.0012236018018991768,0.0012236018018991768,9.247471644886224e-05,0.00010898805867187336,0.0013028974496936828,0.0013028974496936828,0.9197688938362708
Exports,product,300241,"Vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products: for...","Vaccines, toxins, cultures of micro-organisms... (HS 300241)",33,30,1,0.00014704383114768594,0.0001617482142624545,0.004000195089071568,0.004000195089071568,0.00016420005094924936,0.00018062005604417434,0.004444652468500289,0.004444652468500289,0.9197688938362708
Exports,product,090111,Coffee: not roasted or decaffeinated,Coffee: not roasted or decaffeinated (HS 090111),33,33,1,1.07108231486768e-05,1.07108231486768e-05,0.0012030461270891024,0.0012030461270891024,9.104341957178729e-06,9.104341957178729e-06,0.0012457853631213163,0.0012457853631213163,0.9197688938362708
Exports,product,710239,Other non-industrial diamonds,Other non-industrial diamonds (HS 710239),33,31,1,9.701448641899395e-05,0.00010327348554280002,0.002894864995229618,0.002894864995229618,0.00010796489620985462,0.00011493037338468396,0.00321795063598519,0.00321795063598519,0.9197688938362708
Exports,product,330210,Odoriferous substances and mixtures: of a kind used in the food or drink industries,Odoriferous substances and mixtures: of a kind... (HS 330210),33,33,1,-1.671625104499535e-05,-1.671625104499535e-05,0.0008021951246750536,0.0008021951246750536,-2.037686758293688e-05,-2.037686758293688e-05,0.000820929482033705,0.000820929482033705,0.9197688938362708
Exports,product,870321,"Vehicles: with only spark-ignition internal combustion piston engine, cylinder capacity not...",Vehicles: with only spark-ignition internal... (HS 870321),33,33,1,0.00011104616372294446,0.00011104616372294446,0.0016703023671620354,0.0016703023671620354,0.00012699623385647202,0.00012699623385647202,0.0018388119626219482,0.0018388119626219482,0.9197688938362708
