year,flow,dimension,variant,countries,rows,median_gini,median_theil,median_hhi,mean_gini,mean_theil,mean_hhi,median_active_count,median_total_trade_value
2012,Imports,product_partner_cell,baseline,152,152,0.9436641709779352,3.6030739160558527,0.009361741298236765,0.9424884078249623,3.6240147747548064,0.0156839902966652,44728.0,14481572163.5
2013,Imports,product_partner_cell,baseline,154,154,0.9438423701664389,3.574460255828063,0.009371305444289619,0.9433165124466976,3.6598751641079397,0.01733053411547282,46243.5,17646941217.0
2014,Imports,product_partner_cell,baseline,153,153,0.9430250376581129,3.5413145525651943,0.008463055087738943,0.942151257140853,3.5821450142093885,0.014389356772162552,46320.0,18222547407.0
2015,Imports,product_partner_cell,baseline,153,153,0.9409213177578772,3.364362484072839,0.005910911089477707,0.9392326293461083,3.419305870733122,0.010198798869203735,48059.0,16386323618.435999
2016,Imports,product_partner_cell,baseline,155,155,0.9406334084686909,3.313684467203661,0.0050939382872656,0.9383880939975293,3.3644287158532067,0.008615973015786486,48249.0,14023932040.013998
2017,Imports,product_partner_cell,baseline,156,156,0.9441910882946978,3.4021918131202655,0.005464881993709264,0.9406693359906537,3.4451427580321057,0.010374242343333414,48733.0,15881299843.494501
2018,Imports,product_partner_cell,baseline,154,154,0.9451697924355221,3.472435970430155,0.006439712000104508,0.9422856499413449,3.495424538180094,0.010231582077262788,49103.0,16737405077.989498
2019,Imports,product_partner_cell,baseline,154,154,0.9451074731252241,3.456598500896577,0.006340289028780114,0.9426990535163252,3.503448795788082,0.010208069047713247,49188.5,16552956268.902
2020,Imports,product_partner_cell,baseline,152,152,0.942257283779398,3.3620176744484813,0.00504388039832657,0.9404978902518417,3.386559590898725,0.007957446130180306,45892.0,15038046898.278
2021,Imports,product_partner_cell,baseline,153,153,0.9480030782560105,3.5155931974042245,0.005942974407318922,0.9448417530441418,3.5387624974783036,0.009832579960242291,47521.0,18428113840.58
2022,Imports,product_partner_cell,baseline,150,150,0.9513670262187006,3.697853608503106,0.00803359024715301,0.9482848845588039,3.7268452220230794,0.01261140381863689,49156.5,17925602055.0345
2023,Imports,product_partner_cell,baseline,149,149,0.9510430879493843,3.61043665582759,0.007149465445707775,0.9470457564203771,3.661482135061566,0.013324816287673303,50103.0,17242024722.797997
2024,Imports,product_partner_cell,baseline,132,132,0.9507025303554025,3.6073319811209257,0.00615169071036812,0.9475023256727054,3.6304567724348855,0.010067389073011305,54033.0,24395060069.2285
