metric,rank,country,iso3,reporter_code,year,flow,metric_value,active_count,universe_count,total_trade_value
gini,130,Albania,ALB,8,2024,Imports,0.8391814619293316,3106,6891,8047016586.708
gini,131,Austria,AUT,40,2024,Imports,0.8387287744918215,5369,6891,201941075583.91803
gini,132,French Polynesia,PYF,258,2024,Imports,0.8271834229775827,2333,6891,1306613598.378
theil,1,Qatar,QAT,634,2024,Exports,8.530842988521929,106,6873,15848464218.881996
theil,2,Guyana,GUY,328,2024,Exports,7.907963028583467,1944,6873,22409479415.308
theil,3,Burkina Faso,BFA,854,2024,Exports,7.822273636863679,986,6873,5642107004.336
theil,4,Angola,AGO,24,2024,Exports,7.817697319864798,2705,6873,39249519520.62
theil,5,Niger,NER,562,2024,Exports,7.628559449722745,449,6873,1007786657.4239999
theil,6,Nigeria,NGA,566,2024,Exports,7.515254934627182,723,6873,52351681082.401985
theil,7,French Polynesia,PYF,258,2024,Exports,7.412024534467363,72,6873,95570841.14700001
theil,8,Montserrat,MSR,500,2024,Exports,7.384875902639305,120,6873,6145994.407
theil,9,Seychelles,SYC,690,2024,Exports,7.348550798574408,559,6873,593393777.056
theil,10,Kuwait,KWT,414,2024,Exports,7.337232927590356,2770,6873,75946817071.0
theil,11,Azerbaijan,AZE,31,2024,Exports,7.288392061347036,1964,6873,26404676883.300003
theil,12,Central African Rep.,CAF,140,2024,Exports,7.031464252437807,73,6873,204503822.28000003
theil,13,Cabo Verde,CPV,132,2024,Exports,6.956442685599113,36,6873,68245098.95
theil,14,Maldives,MDV,462,2024,Exports,6.888266984771842,89,6873,92418497.34700002
theil,15,Suriname,SUR,740,2024,Exports,6.837508532313236,888,6873,1474376618.1499999
theil,16,Mauritania,MRT,478,2024,Exports,6.821567964037712,290,6873,4149547480.407
theil,17,Bermuda,BMU,60,2024,Exports,6.769359888641027,702,6873,42187407.14999999
theil,18,Algeria,DZA,12,2024,Exports,6.753880876393928,1295,6873,51857390719.05599
theil,19,Malawi,MWI,454,2024,Exports,6.698571323332081,1402,6873,958116143.427
theil,20,Brunei Darussalam,BRN,96,2024,Exports,6.658996631474661,1092,6873,11252209657.198002
theil,21,Saudi Arabia,SAU,682,2024,Exports,6.437400058825725,3851,6873,296208477100.225
theil,22,Zimbabwe,ZWE,716,2024,Exports,6.422706557167804,1335,6873,7422001438.788001
theil,23,Zambia,ZMB,894,2024,Exports,6.362685624742105,2182,6873,11273958331.748001
theil,24,Benin,BEN,204,2024,Exports,6.24892322528551,860,6873,1105094844.356
theil,25,Oman,OMN,512,2024,Exports,6.1993130274082295,3519,6873,65132170813.502
theil,26,Samoa,WSM,882,2024,Exports,6.195209125387306,847,6873,41065343.625999995
theil,27,Gambia,GMB,270,2024,Exports,6.184692298099813,272,6873,49641899.477
theil,28,Jamaica,JAM,388,2024,Exports,6.116445880304441,1499,6873,1903859734.0
theil,29,Belize,BLZ,84,2024,Exports,6.0164194488720515,559,6873,282037866.72400004
theil,30,Mozambique,MOZ,508,2024,Exports,5.9875766963711055,1693,6873,8191933249.900001
theil,31,Bahamas,BHS,44,2024,Exports,5.964405733166358,1337,6873,944235435.0
theil,32,Kazakhstan,KAZ,398,2024,Exports,5.960973486590416,3895,6873,81605584036.53003
theil,33,Ecuador,ECU,218,2024,Exports,5.947379772302331,2724,6873,31530010385.667
theil,34,Uganda,UGA,800,2024,Exports,5.879746206559461,2636,6873,8039344375.93
theil,35,Trinidad and Tobago,TTO,780,2024,Exports,5.799356089432584,2838,6873,7858837882.755
