flow,product_id,source_raw_file,classification_code
Exports,420229,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,420232,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,420239,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,420291,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,420292,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,420299,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,430110,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,430211,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,430230,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,430310,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,430390,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440110,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440121,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440122,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440130,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440200,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440310,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440320,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440392,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440399,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440410,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440420,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440690,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440710,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440724,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440725,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440726,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,440729,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
